seccion,contenido
Introducción,"El modelo OCC (Ortony, Clore y Collins) es una teoría cognitiva de las emociones diseñada para la computación. Define las emociones como reacciones evaluativas ante eventos, agentes y objetos."
Origen_Historico,"Publicado en 1988 en el libro 'The Cognitive Structure of Emotions', el modelo busca explicar por qué y cómo surgen las emociones basándose en el procesamiento de información y metas."
Estructura_Eventos,"Las emociones de eventos se basan en la deseabilidad. Si un evento es deseable para el agente, surge alegría; si es indeseable, surge pena. Incluye también emociones de fortuna para otros como envidia o lástima."
Estructura_Agentes,"Las emociones de agentes se basan en la aprobación de acciones respecto a normas o estándares. El orgullo surge al aprobar una acción propia; la admiración al aprobar una acción ajena; y el reproche al desaprobarla."
Estructura_Objetos,"Las emociones de objetos se centran en la atracción. Se basan en el gusto o disgusto (liking) hacia aspectos de un objeto, generando estados de amor (atracción) u odio (repulsión)."
Taxonomia_22,"El modelo detalla exactamente 22 categorías emocionales distribuidas en una estructura de árbol. Esta jerarquía permite a un sistema informático clasificar cualquier entrada sensorial en una emoción específica."
Variables_Intensidad,"La fuerza de la emoción se calcula mediante variables. Las globales incluyen la proximidad y la realidad; las específicas incluyen la deseabilidad (para eventos) o la fuerza de la unidad (para agentes)."
Fórmula_Intensidad,"Matemáticamente, la intensidad es una función del potencial emocional y el umbral del agente. Si el potencial supera el umbral, la emoción se 'dispara' y se hace visible en el sistema."
Aplicacion_Videojuegos,"En videojuegos, OCC permite que los NPCs (personajes no jugadores) sientan 'odio' por el jugador si este rompe normas, o 'miedo' ante eventos con baja probabilidad de éxito para el NPC."
Aplicacion_Robotica,"En robots sociales, el modelo ayuda a generar expresiones faciales coherentes. Si el robot falla en una tarea (evento indeseable), el modelo OCC activa el estado de 'pena' o 'frustración'."
Proceso_Appraisal,"El proceso de 'appraisal' o evaluación en OCC es automático y constante. El sistema procesa un estímulo y lo filtra a través de las metas (goals) del agente. Si el estímulo facilita una meta, la valencia es positiva; si la obstaculiza, es negativa. Este mecanismo permite que el agente inteligente reaccione de forma subjetiva según sus propios intereses."
Metas_y_Estandares,"El modelo distingue entre tres tipos de estructuras de conocimiento: (1) Metas, que regulan las emociones de eventos; (2) Estándares, que dictan las emociones de atribución sobre la conducta de agentes; y (3) Gustos, que determinan las emociones de atracción hacia objetos. Esta separación es clave para programar la lógica de decisión de un sistema IA."
Emociones_Compuestas,"Además de las 22 emociones básicas, el modelo explica emociones compuestas que combinan la evaluación de eventos y agentes. Un ejemplo es la 'Gratitud', que surge cuando un agente (otro) realiza una acción que resulta en un evento deseable para nosotros. El 'Remordimiento' es la contraparte negativa: una acción propia que genera un evento indeseable."
Variables_Globales,"Existen variables que afectan a todas las emociones por igual. El modelo destaca el 'sentido de realidad' (si el evento es real o imaginario) y la 'proximidad' temporal. En computación, esto se traduce en factores multiplicadores que degradan la intensidad de la emoción a medida que el tiempo transcurre (decay function)."
Potencial_Emocional,"El potencial emocional es el valor máximo que puede alcanzar una emoción antes de ser filtrada por el umbral del agente. Se calcula sumando los pesos de las variables de intensidad. En el diseño de personajes, un personaje 'sensible' tendría umbrales bajos, mientras que uno 'estoico' tendría umbrales muy altos."
Criticas_Modelo,"Aunque es el estándar en IA, se le critica por ser puramente cognitivo. No tiene en cuenta la fisiología (pulso, sudor) ni las emociones básicas biológicas, centrándose solo en la 'evaluación fría'."
Bibliografía_Base,"Ortony, A., Clore, G. L., & Collins, A. (1988). The Cognitive Structure of Emotions. Cambridge University Press."
Bibliografía_IA,"Picard, R. W. (1997). Affective Computing. MIT Press. Un texto fundamental que integra OCC en la informática afectiva."
Bibliografía_Formal,"Steunebrink, B. R. (2009). A Formal Model of Emotions. Analiza la lógica matemática detrás de las transiciones de estado en el modelo OCC."
